DATA,DATA_HORA_COMPARADOR,TEMPERATURA,PRECIPITACAO
2022-05-01 00:00:00,2022-05-01T00:00:00,15.8,0.0
2022-05-01 01:00:00,2022-05-01T01:00:00,15.1,0.0
2022-05-01 02:00:00,2022-05-01T02:00:00,14.7,0.0
2022-05-01 03:00:00,2022-05-01T03:00:00,14.4,0.0
2022-05-01 04:00:00,2022-05-01T04:00:00,14.4,0.0
2022-05-01 05:00:00,2022-05-01T05:00:00,14.0,0.0
2022-05-01 06:00:00,2022-05-01T06:00:00,13.7,0.0
2022-05-01 07:00:00,2022-05-01T07:00:00,12.9,0.0
2022-05-01 08:00:00,2022-05-01T08:00:00,13.0,0.0
2022-05-01 09:00:00,2022-05-01T09:00:00,12.7,0.0
2022-05-01 10:00:00,2022-05-01T10:00:00,14.9,0.0
2022-05-01 11:00:00,2022-05-01T11:00:00,17.4,0.0
2022-05-01 12:00:00,2022-05-01T12:00:00,19.2,0.0
2022-05-01 13:00:00,2022-05-01T13:00:00,20.5,0.0
2022-05-01 14:00:00,2022-05-01T14:00:00,21.6,0.0
2022-05-01 15:00:00,2022-05-01T15:00:00,23.7,0.0
2022-05-01 16:00:00,2022-05-01T16:00:00,24.4,0.0
2022-05-01 17:00:00,2022-05-01T17:00:00,24.5,0.0
2022-05-01 18:00:00,2022-05-01T18:00:00,24.8,0.0
2022-05-01 19:00:00,2022-05-01T19:00:00,24.1,0.0
2022-05-01 20:00:00,2022-05-01T20:00:00,22.7,0.0
2022-05-01 21:00:00,2022-05-01T21:00:00,18.5,0.0
2022-05-01 22:00:00,2022-05-01T22:00:00,18.5,0.0
2022-05-01 23:00:00,2022-05-01T23:00:00,17.7,0.0
2022-05-02 00:00:00,2022-05-02T00:00:00,16.7,0.0
2022-05-02 01:00:00,2022-05-02T01:00:00,15.0,0.0
2022-05-02 02:00:00,2022-05-02T02:00:00,14.4,0.0
2022-05-02 03:00:00,2022-05-02T03:00:00,13.4,0.0
2022-05-02 04:00:00,2022-05-02T04:00:00,12.8,0.0
2022-05-02 05:00:00,2022-05-02T05:00:00,12.6,0.0
2022-05-02 06:00:00,2022-05-02T06:00:00,12.2,0.0
2022-05-02 07:00:00,2022-05-02T07:00:00,12.0,0.0
2022-05-02 08:00:00,2022-05-02T08:00:00,12.0,0.0
2022-05-02 09:00:00,2022-05-02T09:00:00,11.9,0.0
2022-05-02 10:00:00,2022-05-02T10:00:00,14.9,0.0
2022-05-02 11:00:00,2022-05-02T11:00:00,18.3,0.0
2022-05-02 12:00:00,2022-05-02T12:00:00,20.4,0.0
2022-05-02 13:00:00,2022-05-02T13:00:00,22.0,0.0
2022-05-02 14:00:00,2022-05-02T14:00:00,23.2,0.0
2022-05-02 15:00:00,2022-05-02T15:00:00,25.1,0.0
2022-05-02 16:00:00,2022-05-02T16:00:00,25.7,0.0
2022-05-02 17:00:00,2022-05-02T17:00:00,25.4,0.0
2022-05-02 18:00:00,2022-05-02T18:00:00,24.9,0.0
2022-05-02 19:00:00,2022-05-02T19:00:00,24.4,0.0
2022-05-02 20:00:00,2022-05-02T20:00:00,22.6,0.0
2022-05-02 21:00:00,2022-05-02T21:00:00,20.1,0.0
2022-05-02 22:00:00,2022-05-02T22:00:00,17.6,0.0
2022-05-02 23:00:00,2022-05-02T23:00:00,16.8,0.0
2022-05-03 00:00:00,2022-05-03T00:00:00,16.2,0.0
2022-05-03 01:00:00,2022-05-03T01:00:00,15.3,0.0
2022-05-03 02:00:00,2022-05-03T02:00:00,15.1,0.0
2022-05-03 03:00:00,2022-05-03T03:00:00,14.4,0.0
2022-05-03 04:00:00,2022-05-03T04:00:00,13.7,0.0
2022-05-03 05:00:00,2022-05-03T05:00:00,13.8,0.0
2022-05-03 06:00:00,2022-05-03T06:00:00,13.5,0.0
2022-05-03 07:00:00,2022-05-03T07:00:00,12.9,0.0
2022-05-03 08:00:00,2022-05-03T08:00:00,12.7,0.0
2022-05-03 09:00:00,2022-05-03T09:00:00,12.6,0.0
2022-05-03 10:00:00,2022-05-03T10:00:00,15.9,0.0
2022-05-03 11:00:00,2022-05-03T11:00:00,18.7,0.0
2022-05-03 12:00:00,2022-05-03T12:00:00,20.9,0.0
2022-05-03 13:00:00,2022-05-03T13:00:00,22.4,0.0
2022-05-03 14:00:00,2022-05-03T14:00:00,23.6,0.0
2022-05-03 15:00:00,2022-05-03T15:00:00,25.5,0.0
2022-05-03 16:00:00,2022-05-03T16:00:00,25.5,0.0
2022-05-03 17:00:00,2022-05-03T17:00:00,25.8,0.0
2022-05-03 18:00:00,2022-05-03T18:00:00,25.7,0.0
2022-05-03 19:00:00,2022-05-03T19:00:00,24.9,0.0
2022-05-03 20:00:00,2022-05-03T20:00:00,23.6,0.0
2022-05-03 21:00:00,2022-05-03T21:00:00,20.6,0.0
2022-05-03 22:00:00,2022-05-03T22:00:00,18.8,0.0
2022-05-03 23:00:00,2022-05-03T23:00:00,17.6,0.0
2022-05-04 00:00:00,2022-05-04T00:00:00,17.6,0.0
2022-05-04 01:00:00,2022-05-04T01:00:00,16.8,0.0
2022-05-04 02:00:00,2022-05-04T02:00:00,16.1,0.0
2022-05-04 03:00:00,2022-05-04T03:00:00,15.5,0.0
2022-05-04 04:00:00,2022-05-04T04:00:00,15.3,0.0
2022-05-04 05:00:00,2022-05-04T05:00:00,15.1,0.0
2022-05-04 06:00:00,2022-05-04T06:00:00,14.5,0.0
2022-05-04 07:00:00,2022-05-04T07:00:00,15.1,0.0
2022-05-04 08:00:00,2022-05-04T08:00:00,14.8,0.0
2022-05-04 09:00:00,2022-05-04T09:00:00,14.9,0.0
2022-05-04 10:00:00,2022-05-04T10:00:00,17.5,0.0
2022-05-04 11:00:00,2022-05-04T11:00:00,19.5,0.0
2022-05-04 12:00:00,2022-05-04T12:00:00,21.0,0.0
2022-05-04 13:00:00,2022-05-04T13:00:00,22.3,0.0
2022-05-04 14:00:00,2022-05-04T14:00:00,23.1,0.1
2022-05-04 15:00:00,2022-05-04T15:00:00,24.8,0.0
2022-05-04 16:00:00,2022-05-04T16:00:00,25.1,0.0
2022-05-04 17:00:00,2022-05-04T17:00:00,25.1,0.0
2022-05-04 18:00:00,2022-05-04T18:00:00,24.4,0.0
2022-05-04 19:00:00,2022-05-04T19:00:00,23.7,0.0
2022-05-04 20:00:00,2022-05-04T20:00:00,23.3,0.0
2022-05-04 21:00:00,2022-05-04T21:00:00,21.2,0.0
2022-05-04 22:00:00,2022-05-04T22:00:00,19.3,0.0
2022-05-04 23:00:00,2022-05-04T23:00:00,19.1,0.1
2022-05-05 00:00:00,2022-05-05T00:00:00,18.1,1.0
2022-05-05 01:00:00,2022-05-05T01:00:00,17.7,0.2
2022-05-05 02:00:00,2022-05-05T02:00:00,17.7,0.4
2022-05-05 03:00:00,2022-05-05T03:00:00,16.9,0.4
2022-05-05 04:00:00,2022-05-05T04:00:00,16.8,0.4
2022-05-05 05:00:00,2022-05-05T05:00:00,16.4,0.3
2022-05-05 06:00:00,2022-05-05T06:00:00,16.3,0.3
2022-05-05 07:00:00,2022-05-05T07:00:00,16.2,0.9
2022-05-05 08:00:00,2022-05-05T08:00:00,16.0,1.3
2022-05-05 09:00:00,2022-05-05T09:00:00,16.0,1.3
2022-05-05 10:00:00,2022-05-05T10:00:00,16.8,1.2
2022-05-05 11:00:00,2022-05-05T11:00:00,17.2,1.3
2022-05-05 12:00:00,2022-05-05T12:00:00,17.7,0.8
2022-05-05 13:00:00,2022-05-05T13:00:00,18.2,0.3
2022-05-05 14:00:00,2022-05-05T14:00:00,18.5,0.4
2022-05-05 15:00:00,2022-05-05T15:00:00,20.1,0.1
2022-05-05 16:00:00,2022-05-05T16:00:00,20.2,0.1
2022-05-05 17:00:00,2022-05-05T17:00:00,19.8,0.7
2022-05-05 18:00:00,2022-05-05T18:00:00,19.9,0.4
2022-05-05 19:00:00,2022-05-05T19:00:00,20.0,0.1
2022-05-05 20:00:00,2022-05-05T20:00:00,19.3,0.0
2022-05-05 21:00:00,2022-05-05T21:00:00,17.9,0.0
2022-05-05 22:00:00,2022-05-05T22:00:00,17.0,0.0
2022-05-05 23:00:00,2022-05-05T23:00:00,16.9,0.0
2022-05-06 00:00:00,2022-05-06T00:00:00,16.4,0.0
2022-05-06 01:00:00,2022-05-06T01:00:00,16.5,0.0
2022-05-06 02:00:00,2022-05-06T02:00:00,16.1,0.0
2022-05-06 03:00:00,2022-05-06T03:00:00,15.9,0.0
2022-05-06 04:00:00,2022-05-06T04:00:00,14.9,0.0
2022-05-06 05:00:00,2022-05-06T05:00:00,15.0,0.0
2022-05-06 06:00:00,2022-05-06T06:00:00,15.0,0.0
2022-05-06 07:00:00,2022-05-06T07:00:00,14.8,0.0
2022-05-06 08:00:00,2022-05-06T08:00:00,14.5,0.0
2022-05-06 09:00:00,2022-05-06T09:00:00,14.2,0.0
2022-05-06 10:00:00,2022-05-06T10:00:00,15.6,0.0
2022-05-06 11:00:00,2022-05-06T11:00:00,17.4,0.0
2022-05-06 12:00:00,2022-05-06T12:00:00,18.0,0.0
2022-05-06 13:00:00,2022-05-06T13:00:00,19.3,0.0
2022-05-06 14:00:00,2022-05-06T14:00:00,20.4,0.0
2022-05-06 15:00:00,2022-05-06T15:00:00,22.0,0.2
2022-05-06 16:00:00,2022-05-06T16:00:00,22.6,0.3
