HORA,TIPO_DIA,PRECIPITACAO,TEMPERATURA,ACIMA_MEDIA_FREQUENCIA
00,DOMINGO,0.0,15.8,0
01,DOMINGO,0.0,15.1,0
02,DOMINGO,0.0,14.7,0
04,DOMINGO,0.0,14.4,0
05,DOMINGO,0.0,14.0,0
06,DOMINGO,0.0,13.7,0
07,DOMINGO,0.0,12.9,0
08,DOMINGO,0.0,13.0,0
09,DOMINGO,0.0,12.7,0
10,DOMINGO,0.0,14.9,0
11,DOMINGO,0.0,17.4,0
12,DOMINGO,0.0,19.2,1
13,DOMINGO,0.0,20.5,0
14,DOMINGO,0.0,21.6,0
15,DOMINGO,0.0,23.7,0
16,DOMINGO,0.0,24.4,0
17,DOMINGO,0.0,24.5,1
18,DOMINGO,0.0,24.8,1
19,DOMINGO,0.0,24.1,1
20,DOMINGO,0.0,22.7,1
21,DOMINGO,0.0,18.5,0
22,DOMINGO,0.0,18.5,1
23,DOMINGO,0.0,17.7,0
00,DIA_UTIL,0.0,16.7,0
01,DIA_UTIL,0.0,15.0,0
02,DIA_UTIL,0.0,14.4,0
04,DIA_UTIL,0.0,12.8,0
05,DIA_UTIL,0.0,12.6,0
06,DIA_UTIL,0.0,12.2,0
07,DIA_UTIL,0.0,12.0,0
08,DIA_UTIL,0.0,12.0,0
09,DIA_UTIL,0.0,11.9,0
10,DIA_UTIL,0.0,14.9,0
11,DIA_UTIL,0.0,18.3,1
12,DIA_UTIL,0.0,20.4,1
13,DIA_UTIL,0.0,22.0,1
14,DIA_UTIL,0.0,23.2,1
15,DIA_UTIL,0.0,25.1,1
16,DIA_UTIL,0.0,25.7,1
17,DIA_UTIL,0.0,25.4,1
18,DIA_UTIL,0.0,24.9,1
19,DIA_UTIL,0.0,24.4,1
20,DIA_UTIL,0.0,22.6,0
21,DIA_UTIL,0.0,20.1,0
22,DIA_UTIL,0.0,17.6,0
23,DIA_UTIL,0.0,16.8,0
00,DIA_UTIL,0.0,17.6,0
01,DIA_UTIL,0.0,16.8,0
02,DIA_UTIL,0.0,16.1,0
04,DIA_UTIL,0.0,15.3,0
05,DIA_UTIL,0.0,15.1,0
06,DIA_UTIL,0.0,14.5,0
07,DIA_UTIL,0.0,15.1,0
08,DIA_UTIL,0.0,14.8,0
09,DIA_UTIL,0.0,14.9,0
10,DIA_UTIL,0.0,17.5,1
11,DIA_UTIL,0.0,19.5,1
12,DIA_UTIL,0.0,21.0,1
13,DIA_UTIL,0.0,22.3,1
14,DIA_UTIL,0.1,23.1,1
15,DIA_UTIL,0.0,24.8,1
16,DIA_UTIL,0.0,25.1,1
17,DIA_UTIL,0.0,25.1,1
18,DIA_UTIL,0.0,24.4,1
19,DIA_UTIL,0.0,23.7,1
20,DIA_UTIL,0.0,23.3,0
21,DIA_UTIL,0.0,21.2,0
22,DIA_UTIL,0.0,19.3,0
23,DIA_UTIL,0.1,19.1,0
00,DIA_UTIL,1.0,18.1,0
01,DIA_UTIL,0.2,17.7,0
02,DIA_UTIL,0.4,17.7,0
04,DIA_UTIL,0.4,16.8,0
06,DIA_UTIL,0.3,16.3,0
07,DIA_UTIL,0.9,16.2,0
08,DIA_UTIL,1.3,16.0,0
09,DIA_UTIL,1.3,16.0,0
10,DIA_UTIL,1.2,16.8,0
11,DIA_UTIL,1.3,17.2,1
12,DIA_UTIL,0.8,17.7,1
13,DIA_UTIL,0.3,18.2,1
14,DIA_UTIL,0.4,18.5,0
15,DIA_UTIL,0.1,20.1,1
16,DIA_UTIL,0.1,20.2,1
17,DIA_UTIL,0.7,19.8,1
18,DIA_UTIL,0.4,19.9,1
19,DIA_UTIL,0.1,20.0,1
20,DIA_UTIL,0.0,19.3,0
21,DIA_UTIL,0.0,17.9,0
22,DIA_UTIL,0.0,17.0,1
