FERIADO,DOMINGO,SABADO,DIA_UTIL,PRECIPITACAO,TEMPERATURA,HORA,c#ACIMA_MEDIA_FREQUENCIA
0,1,0,0,0.0,15.8,00,0
0,1,0,0,0.0,15.1,01,0
0,1,0,0,0.0,14.7,02,0
0,1,0,0,0.0,14.4,04,0
0,1,0,0,0.0,14.0,05,0
0,1,0,0,0.0,13.7,06,0
0,1,0,0,0.0,12.9,07,0
0,1,0,0,0.0,13.0,08,0
0,1,0,0,0.0,12.7,09,0
0,1,0,0,0.0,14.9,10,0
0,1,0,0,0.0,17.4,11,0
0,1,0,0,0.0,19.2,12,1
0,1,0,0,0.0,20.5,13,0
0,1,0,0,0.0,21.6,14,0
0,1,0,0,0.0,23.7,15,0
0,1,0,0,0.0,24.4,16,0
0,1,0,0,0.0,24.5,17,1
0,1,0,0,0.0,24.8,18,1
0,1,0,0,0.0,24.1,19,1
0,1,0,0,0.0,22.7,20,1
0,1,0,0,0.0,18.5,21,0
0,1,0,0,0.0,18.5,22,1
0,1,0,0,0.0,17.7,23,0
0,0,0,1,0.0,16.7,00,0
0,0,0,1,0.0,15.0,01,0
0,0,0,1,0.0,14.4,02,0
0,0,0,1,0.0,12.8,04,0
0,0,0,1,0.0,12.6,05,0
0,0,0,1,0.0,12.2,06,0
0,0,0,1,0.0,12.0,07,0
0,0,0,1,0.0,12.0,08,0
0,0,0,1,0.0,11.9,09,0
0,0,0,1,0.0,14.9,10,0
0,0,0,1,0.0,18.3,11,1
0,0,0,1,0.0,20.4,12,1
0,0,0,1,0.0,22.0,13,1
0,0,0,1,0.0,23.2,14,1
0,0,0,1,0.0,25.1,15,1
0,0,0,1,0.0,25.7,16,1
0,0,0,1,0.0,25.4,17,1
0,0,0,1,0.0,24.9,18,1
0,0,0,1,0.0,24.4,19,1
0,0,0,1,0.0,22.6,20,0
0,0,0,1,0.0,20.1,21,0
0,0,0,1,0.0,17.6,22,0
0,0,0,1,0.0,16.8,23,0
0,0,0,1,0.0,17.6,00,0
0,0,0,1,0.0,16.8,01,0
0,0,0,1,0.0,16.1,02,0
0,0,0,1,0.0,15.3,04,0
0,0,0,1,0.0,15.1,05,0
0,0,0,1,0.0,14.5,06,0
0,0,0,1,0.0,15.1,07,0
0,0,0,1,0.0,14.8,08,0
0,0,0,1,0.0,14.9,09,0
0,0,0,1,0.0,17.5,10,1
0,0,0,1,0.0,19.5,11,1
0,0,0,1,0.0,21.0,12,1
0,0,0,1,0.0,22.3,13,1
0,0,0,1,0.1,23.1,14,1
0,0,0,1,0.0,24.8,15,1
0,0,0,1,0.0,25.1,16,1
0,0,0,1,0.0,25.1,17,1
0,0,0,1,0.0,24.4,18,1
0,0,0,1,0.0,23.7,19,1
0,0,0,1,0.0,23.3,20,0
0,0,0,1,0.0,21.2,21,0
0,0,0,1,0.0,19.3,22,0
0,0,0,1,0.1,19.1,23,0
0,0,0,1,1.0,18.1,00,0
0,0,0,1,0.2,17.7,01,0
0,0,0,1,0.4,17.7,02,0
0,0,0,1,0.4,16.8,04,0
0,0,0,1,0.3,16.3,06,0
0,0,0,1,0.9,16.2,07,0
0,0,0,1,1.3,16.0,08,0
0,0,0,1,1.3,16.0,09,0
